warning_id,top_section_id,top_section_title,topic_section_id,topic_section,type,warning_text
ecls_bio_becls_a2_a109384271.SL107205390.18144,ecls_bio_becls_a2_a109362916.SL82791440.17950,Connections,ecls_bio_becls_a2_a109362920.SL109362921.18093,BMW SIM reader,Warning,"Batteries or button cell batteries for battery-operated devices can be swallowed, which leads to serious or fatal injuries within two hours, for example, due to internal burns or chemical burns. There is a risk of injury or danger to life. Keep batteries, button cells, and battery-operated devices out of reach of children. Immediately seek medical help if there is any suspicion that a battery or button cell battery has been swallowed or is located in any part of the body."
ecls_bio_becls_a2_a109365559.SL107278189.18149,ecls_bio_becls_a2_a109362916.SL82791440.17950,Connections,ecls_bio_becls_a2_a109362920.SL109362921.18093,BMW SIM reader,Notice,"Improper batteries in a battery-operated device can damage the device. There is a risk of damage to property, among other potential damage. Always replace the discharged battery with a battery with the same voltage, the same size and the same specification."
ecls_bio_becls_a2_a108713047.SL13582862.14324,ecls_bio_becls_a2_a109049716.SL63315236.13868,Climate control,ecls_bio_becls_a2_a109147688.SL52170.14306,Pre-ventilation / Pre-ventilation/preheating,Danger,"If the exhaust pipe is blocked or ventilation is insufficient, harmful exhaust gases can penetrate the vehicle. The exhaust gases contain pollutants which are colorless and odorless. In enclosed areas, exhaust gases can also accumulate outside of the vehicle. There is a danger to life. Keep the exhaust pipe free and ensure sufficient ventilation. Do not switch on the pre-heating in closed spaces, such as in closed garages."
ecls_bio_becls_a2_a108717607.SL16063628.14329,ecls_bio_becls_a2_a109049716.SL63315236.13868,Climate control,ecls_bio_becls_a2_a109147688.SL52170.14306,Pre-ventilation / Pre-ventilation/preheating,Warning,"During pre-heating operation, high temperatures can occur underneath the body, for instance caused by the exhaust system. If combustible materials, such as leaves or grass, come in contact with hot parts of the exhaust system, these materials can ignite. There is a risk of fire. Make sure that no combustible materials can come in contact with hot vehicle parts during pre-heating operation, e.g. leaves, grass, gas, gasoline, oil or other combustible objects. Switch off the pre-heating before fueling."
ecls_bio_becls_a2_a106607114.SL13582862.14380,ecls_bio_becls_a2_a109049716.SL63315236.13868,Climate control,ecls_bio_becls_a2_a109053968.SL52170.14368,Pre-conditioning through Remote Engine Start,Danger,"If the exhaust pipe is blocked or ventilation is insufficient, harmful exhaust gases can pollute the area in and around the vehicle or penetrate the vehicle. The exhaust gases contain pollutants which are colorless and odorless. In enclosed areas or areas with insufficient ventilation, exhaust gases can also accumulate outside of the vehicle. There is a danger to life. Keep the exhaust pipe free and ensure sufficient ventilation. Do not switch on stationary climate control in enclosed areas or areas with insufficient ventilation, e.g. in enclosed garages."
ecls_bio_becls_a2_a106607111.SL16063628.14385,ecls_bio_becls_a2_a109049716.SL63315236.13868,Climate control,ecls_bio_becls_a2_a109053968.SL52170.14368,Pre-conditioning through Remote Engine Start,Warning,"When stationary climate control is in operation, high temperatures can occur underneath the body, for instance caused by the exhaust system. If combustible materials, such as leaves or grass, come in contact with hot parts of the exhaust system, these materials can ignite. There is a risk of fire. Make sure that no combustible materials can come in contact with hot vehicle parts during stationary climate control operation, e.g. leaves, grass, gas, gasoline, oil or other combustible objects."
ecls_bio_becls_a2_a108522626.SL107205390.3919,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a107902843.SL53470.3907,Vehicle key,Warning,"The vehicle key has a button cell battery. Batteries or button cell batteries can be swallowed and lead to serious or fatal injuries within two hours, for example due to internal burns or chemical burns. There is a risk of injury or danger to life. Keep the vehicle key and batteries out of reach of children. Immediately seek medical help if there is any suspicion that a battery or button cell battery has been swallowed or is located in any part of the body."
ecls_bio_becls_a2_a108490933.SL107278189.3960,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a107902843.SL53470.3907,Vehicle key,Notice,"Improper batteries in a battery-operated device can damage the device. There is a risk of damage to property, among other potential damage. Always replace the discharged battery with a battery with the same voltage, the same size and the same specification."
ecls_bio_becls_a2_a108713120.SL39679327.3985,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a110727146.SL53484.3971,Integrated key,Warning,"For some national-market versions, unlocking from the inside is only possible with particular knowledge. Do not lock the vehicle from the outside when passengers are present in the vehicle because unlocking from the vehicle interior is not possible. If persons spend a lengthy time in the vehicle and are thereby exposed to extreme temperatures, there is a risk of injury or danger to life. Do not lock the vehicle from the outside when there are people in it."
ecls_bio_becls_a2_a106606829.SL53437.4047,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a107092907.SL53313.4040,Access to vehicle interior,Warning,"People or animals in the vehicle can lock the doors from the inside and lock themselves in. In this case, the vehicle cannot be opened from the outside. There is a risk of injury. Take the vehicle key with you so that the vehicle can be opened from the outside."
ecls_bio_becls_a2_a108717646.SL39677894.4052,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a107092907.SL53313.4040,Access to vehicle interior,Warning,"For some national-market versions, unlocking from the inside is only possible with particular knowledge. Do not lock the vehicle from the outside when passengers are present in the vehicle because unlocking from the vehicle interior is not possible. If persons spend a lengthy time in the vehicle and are thereby exposed to extreme temperatures, there is a risk of injury or danger to life. Do not lock the vehicle from the outside when there are people in it."
ecls_bio_becls_a2_a108572878.SL39758085.4057,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a107092907.SL53313.4040,Access to vehicle interior,Warning,"Unattended children or animals in the vehicle can cause the vehicle to move and endanger themselves and traffic, for instance due to the following actions: Pressing the Start/Stop button. Releasing the parking brake. Opening and closing the doors or windows. Engaging selector lever position N. Using vehicle equipment. There is a risk of accidents or injuries. Do not leave children or animals unattended in the vehicle. Take the vehicle key with you when exiting and lock the vehicle."
ecls_bio_becls_a2_a108715150.SL35841083.4190,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109922408.SL53481.4179,Access to the cargo area,Warning,Body parts can be jammed when operating the trunk lid. There is a risk of injury. Make sure that the travel path of the trunk lid is clear during opening and closing.
ecls_bio_becls_a2_a108691302.SL35841083.4195,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109922408.SL53481.4179,Access to the cargo area,Warning,Body parts can be jammed when operating the tailgate. There is a risk of injury. Make sure that the travel path of the tailgate is clear during opening and closing.
ecls_bio_becls_a2_a108715018.SL20031463.4200,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109922408.SL53481.4179,Access to the cargo area,Warning,The tailgate swings back and up when it opens. There is a risk of injury or risk of damage to property. Make sure that the travel path of the tailgate is clear during opening and closing.
ecls_bio_becls_a2_a108715259.SL35841083.4205,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109922408.SL53481.4179,Access to the cargo area,Notice,"During opening, the trunk lid pivots back and up. There is a risk of damage to property, among other potential damage. Make sure that the travel path of the trunk lid is clear during opening and closing."
ecls_bio_becls_a2_a109732708.SL35859762.4210,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109922408.SL53481.4179,Access to the cargo area,Notice,"Sharp-edged or pointed objects can hit the windows and heating elements while driving. There is a risk of damage to property, among other potential damage. Cover the edges and ensure that pointed objects do not hit the windows."
ecls_bio_becls_a2_a108711909.SL29014065.4300,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109681785.SL107096189.4282,Touchless opening and closing of the cargo area,Warning,"During no-touch activation, vehicle parts may be touched, such as the hot exhaust system. There is a risk of injury. When moving your foot, make sure you have a firm stance and do not touch the vehicle."
ecls_bio_becls_a2_a108715150.SL35841083.4305,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109681785.SL107096189.4282,Touchless opening and closing of the cargo area,Warning,Body parts can be jammed when operating the trunk lid. There is a risk of injury. Make sure that the travel path of the trunk lid is clear during opening and closing.
ecls_bio_becls_a2_a108691302.SL35841083.4310,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109681785.SL107096189.4282,Touchless opening and closing of the cargo area,Warning,Body parts can be jammed when operating the tailgate. There is a risk of injury. Make sure that the travel path of the tailgate is clear during opening and closing.
ecls_bio_becls_a2_a108715018.SL20031463.4315,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109681785.SL107096189.4282,Touchless opening and closing of the cargo area,Warning,The tailgate swings back and up when it opens. There is a risk of injury or risk of damage to property. Make sure that the travel path of the tailgate is clear during opening and closing.
ecls_bio_becls_a2_a108715259.SL35841083.4320,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109681785.SL107096189.4282,Touchless opening and closing of the cargo area,Notice,"During opening, the trunk lid pivots back and up. There is a risk of damage to property, among other potential damage. Make sure that the travel path of the trunk lid is clear during opening and closing."
ecls_bio_becls_a2_a109732762.SL48610117.4326,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109681785.SL107096189.4282,Touchless opening and closing of the cargo area,Notice,"Sharp-edged or pointed objects can hit the windows and heating elements while driving. There is a risk of damage to property, among other potential damage. Cover the edges and ensure that pointed objects do not hit the windows."
ecls_bio_becls_a2_a108468232.SL107205390.4370,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a108468287.SL99368310.4356,Key Card,Notice,"If the Key Card and a mobile device are in the wireless charging tray at the same time, the Key Card could become damaged. There is a risk of damage to property, among other potential damage. Do not place the Key Card in the wireless charging tray at the same time as a mobile device."
ecls_bio_becls_a2_a108647010.SL17544846.4488,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109712269.SL17447181.4476,Buttons for the central locking system,Warning,"When driving with a door open, passengers may be thrown from the vehicle. Careless opening of the door can pose a risk due to the flow of traffic. There is a risk of accident. Always close the doors fully. When opening the doors, make sure that the vehicle’s surroundings are secure."
ecls_bio_becls_a2_a108640414.SL53413.4539,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109054721.SL53412.4527,Soft-close automatic function,Warning,Body parts can be jammed while operating the doors. There is a risk of injury. Make sure that the area of movement of the doors is clear during opening and closing.
ecls_bio_becls_a2_a108599765.SL39748907.4690,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a106749416.SL53313.4677,Window,Warning,"When operating the windows, body parts and objects can be jammed. There is a risk of injury or risk of damage to property. Make sure that the travel path of the windows is clear during opening and closing."
ecls_bio_becls_a2_a108647215.SL53331.4761,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a106605466.SL53329.4746,Jam protection system,Warning,Accessories on the windows such as antennas can impact jam protection. There is a risk of injury. Do not install accessories in the area of movement of the windows.
ecls_bio_becls_a2_a108602825.SL27778839.4805,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109081824.SL53277.4790,Glass sunroof,Warning,Unintended closing of the slide/tilt sunroof may cause body parts to become jammed. There is a risk of injury. Make sure that the area of movement of the slide/tilt sunroof is clear. Take the vehicle key with you to make sure children cannot play with the slide/tilt sunroof.
ecls_bio_becls_a2_a108648693.SL27778840.4810,ecls_bio_becls_a2_a110594531.SL63315226.3897,Opening and closing,ecls_bio_becls_a2_a109081824.SL53277.4790,Glass sunroof,Warning,Body parts can be jammed when operating the glass sunroof. There is a risk of injury. Make sure that the area of movement of the glass sunroof is clear during opening and closing.
ecls_bio_becls_a2_a108522665.SL107156747.21753,ecls_bio_becls_a2_a106607243.SL63315264.21732,Vehicle Care,ecls_bio_becls_a2_a109984223.SL50508.21739,Washing the vehicle,Warning,"Contact with live components can lead to an electric shock. High voltage is present at the charging socket. There is a risk of injury or danger to life. Have work on the charging socket, for instance cleaning, performed by an authorized service center or another qualified service center or repair shop. Contact with live components can lead to an electric shock. High voltage is present at the charging connection. There is a risk of injury or danger to life. The manufacturer of your vehicle recommends that work on the charging connection, for instance cleaning, be performed by an authorized service center or another qualified service center or repair shop."
ecls_bio_becls_a2_a108522677.SL107156748.21758,ecls_bio_becls_a2_a106607243.SL63315264.21732,Vehicle Care,ecls_bio_becls_a2_a109984223.SL50508.21739,Washing the vehicle,Notice,"When washing with an open charging socket cover, the charging socket can be damaged. There is a risk of damage to property, among other potential damage. Close the charging socket cover before washing. Clean dirt behind the charging socket cover with a cloth."
ecls_bio_becls_a2_a108522660.SL107845757.21763,ecls_bio_becls_a2_a106607243.SL63315264.21732,Vehicle Care,ecls_bio_becls_a2_a109984223.SL50508.21739,Washing the vehicle,Notice,"When washing with an open fuel filler flap, damage may occur. There is a risk of damage to property, among other potential damage. Close the fuel filler flap before washing. Clean dirt behind the fuel filler flap with a cloth."
ecls_bio_becls_a2_a108595512.SL50510.21774,ecls_bio_becls_a2_a106607243.SL63315264.21732,Vehicle Care,ecls_bio_becls_a2_a106601999.SL28975813.21767,Steam cleaner and high pressure cleaner,Notice,"When cleaning with high pressure cleaners, components can be damaged due to the pressure or temperatures being too high. There is a risk of damage to property, among other potential damage. Maintain sufficient distance and do not spray too long continuously. Follow the operating instructions for the high pressure cleaners."
ecls_bio_becls_a2_a108739621.SL82712169.21787,ecls_bio_becls_a2_a106607243.SL63315264.21732,Vehicle Care,ecls_bio_becls_a2_a109045453.SL50512.21781,Automatic car washes or car washes,Notice,"Using a car wash with high pressure washers may result in water penetration of window areas. There is a risk of damage to property, among other potential damage. Do not drive into high-pressure car wash systems."
ecls_bio_becls_a2_a108599746.SL32827393.21792,ecls_bio_becls_a2_a106607243.SL63315264.21732,Vehicle Care,ecls_bio_becls_a2_a109045453.SL50512.21781,Automatic car washes or car washes,Notice,"Improper use of automatic car washes can cause damage to the vehicle. There is a risk of damage to property, among other potential damage. Follow the following instructions: Give preference to cloth car washes or those that use soft brushes in order to avoid paint damage. Before driving into the car wash, make sure that the vehicle is not too large. Do not drive through a car wash with guide rails higher than Observe the tire width of the guide rail to avoid damage to tires and rims. Fold in exterior mirrors to avoid damage to the exterior mirrors. Deactivate the wiper and, if necessary, rain sensor to avoid damage to the window wiper system. Do not activate camera cleaning via iDrive while washing the vehicle to prevent damage on the cleaning system."
